,0
218,Более 20 погибших и удар по вакцинации от Covid-19 – непогода в США 
219,А как проверить?\nНазвано условие для формирования пожизненного иммунитета к COVID-19 через @username
220,"«Согласно новому рабочему документу ВОЗ, 115 тысяч медицинских работников могли умереть от COVID-19 в период с января 2020 года по май этого года», – сказал глава ВОЗ."
221,"Сирия,лагерь Аль Холл. "
222,Украинские ученые признались в непредсказуемости COVID-19\n 
223,"В Украине за сутки от COVID-19 умерли 44 человека, зафиксированы 1 263 новых случая заражения, 1 007 человек выздоровели через @username"
224,Производитель вакцины от COVID-19 Moderna отчитался о росте выручки в 65 раз.
225,Наибольший охват тестированиями на COVID-19 в Украине – в Киеве и Херсонской области 
226,"В Минцифры рассказали, как получить сертификат о вакцинации от COVID-19 \n \n#Новости #Россия #GazetaNews"
227,"Председатель комиссии научного журнала Lancet по изучению коронавируса заявил, что COVID-19 был создан в американской биолаборатории. "
228,Эксперты взломали Bluetooth-тест на COVID-19\n\n 
229,Посмотри это видео:\nСОБРАНИЕ ЖУРНАЛИСТОВ.\n22.12.2020\n#WORLD #COVID19 #МИР\n#КОВИД #СОБРАНИЕ\n#ЖУРНАЛИСТИКА\n 
230, ️В Беларуси признали экстремистским и запретили обязательный масочный режим в условиях COVID-19\n\nПобеда над коронавирусом пришла откуда не ждали 
231,"На самом деле, считай, миллионов под 100 вирусных. А то и больше "
232,Сегодняшние дети могут стать потерянным поколением со шрамами от пандемии COVID-19 
233,Американские ученые выявили связь между COVID-19 и болями в суставах 
234,"по оценкам Всемирного банка в 2020 ещё 150 млн. африканцев окажутся в абсолютной бедности, т.е. их доходов не хватит на выживание\n\nкризис задолженностей в Африке обостряется кризиcом #COVID19 в мире и решать проблему придётся кредитору №1 Африки - Китаю\n\n "
235,Комитет Рады по здоровью нации предлагает распространить закон о соцзащите семей погибших от COVID-19 медиков на частные клиники\n 
236,"Турция,\n\nЭрсой Карамустафа, учитель религиозной культуры и этики(был отстранён от трудовой деятельности Указом КХК действующего правительства), находился под арестом в тюрьме Маниса на протяжении 4,5 лет, умер два дня назад из-за Covid19. @username CanPazarı "
237,"Народного артиста России Сергея Безрукова госпитализировали с COVID-19\nПишет, что болезнь протекает в легкой форме.\nА зачем тогда госпитализировали? Чтобы легкую ещё более облегчить?"
238,"Учёные США заявили, что организм человека надолго сохранит иммунитет к COVID-19 "
239,Рост заболеваемости COVID-19 происходит во многом из-за несоблюдения мер профилактики - врач-инфекционист\n\n 
240,Нью-Йорк потерял 1 миллион рабочих мест в 2020 году из-за COVID-19 
241,"В Минфине рассказали, сколько денег Украина потратила из фонда COVID-19\n "
242,Переболевшие COVID-19 назвали Топ-10 долгосрочных проблем со здоровьем\n\nКоронавирусная инфекция «аукается» разнообразными последствиями спустя недели и месяцы после выздоровления 
243,"Число выявленных случаев COVID-19 в мире превысило 65 миллионов, \n\nсообщает РИА Новости со ссылкой на данные Всемирной организации здравоохранения (ВОЗ)\n\n "
244,Суточный прирост COVID-19 в России снизился до октябрьских значений 
245,Сингапурда COVID-19 жаңа штамын жұқтыру жағдайы тіркелді - БАҚ #tengrinews #news через @username
246,"Вот Трюдо признает на ВИДЕО, что план глобалистов — это диктатура в китайском стиле на ЗАПАДЕ. Он упоминает, что это связано с изменением климата, но так ли это на самом деле?\n #FreedomConvoy2022\n #Truckersforfreedomconvoy2022\n #TrudeauForTreason\n #COVID19 "
247,"Какие симптомы ковида в новую волну?\n\nВладимир Капацына, заведующий инфекционным отделением Боткинской больницы в Петербурге, рассказал о симптомах COVID-19 в новую волну. \n\nПодробности: "
248,В России начинается вакцинация от COVID-19 – все новости 
249," #Захарова: 12 ноября в режиме состоялся форум ""Российско-китайское межрегиональное сотрудничество в постэпидемическую эпоху. Возможности и вызовы"". \n\n Отмечено, что практическое сотрудничество между регионами, несмотря на #COVID19, сохранилось на высоком уровне "
250,Роспотребнадзор назвал два сценария развития пандемии COVID-19 в январе 
251,"Covid-19 в Украине, данные за неделю (18-24.01):\n\n110 840 новых случаев (+101% от прошлой недели);\n\n921 смертей (-11%);\n\n29 176 выздоровлений (-29%);\n\n340 513 ПЦР-тестов (+58%);\n\n171 041 вакцинация (1 доза) (-5%);\n\n195 564 вакцинаций (2 доза) (-32%).\n\n109 619 вакцинаций (бустер). "
252,"account has been withheld in Portugal, Finland, Sweden, Ireland, Slovenia, Czech Republic, Poland, Slovakia, Hungary, Italy, Malta, Germany, Greece, Romania, Netherlands, Bulgaria, Austria, Luxembourg, Latvia, United Kingdom, Denmark, Lithuania, Croatia, Estonia, Cyprus, France, Spain, Belgium in response to a legal demand. Learn more."
253,"Суточное число заражений COVID-19 в Украине снова выросло, среди заболевших – более 5 тыс. детей\n #covid19 #коронавирус #статистика"
254,В Мурманской области с начала пандемии 37 114 заболевших CoViD-19 #мурманск 
255,Отслеживание близких контактов с новыми случаями Covid-19 становится невыполнимой миссией 
256,"Супруга ученого из лаборатории Уханя умерла от COVID-19 еще в декабре 2019 года, до пандемии, сообщает издание Daily Caller со ссылкой на сотрудника Госдепартамента США Дэвида Ашера, который расследовал происхождение коронавирусной инфекции. "
257,Число привитых в РФ первым компонентом вакцины от COVID-19 приблизилось к 30 млн. Ну вроде как бы норм в условиях такого напряга
258,"Министр здравоохранения России Михаил Мурашко сделал прививку от коронавируса\n\nОб этом он рассказал, отвечая на вопрос, не перенесли ли он ранее covid-19 "
259,"Рассказываем, чем примечательны суперраспространители COVID-19 и других инфекций, можно ли их узнать в толпе и на что обратить внимание, чтобы самим не стать «всадником пандемии»\n\n "
260,Подтверждены первые случаи смерти животных от COVID-19\n\nНовая коронавирусная инфекция стала причиной смерти двух бобров в Монголии\n 
261,"Судя по молчанию, минздрав не знает ответа на мой вопрос.\nПовторюсь, где сделать ревакцинацию от covid19? "
262,Еще 27 человек скончались в Ростовской области от осложнений COVID-19 младшим из умерших было 46 лет 
263,Врач назвала в эфире общества «Знание» необходимый процент привитых для защиты от COVID-19 
264,"В России за сутки выявлено 12 604 новых случая коронавируса в 85 регионах. Из них 1723 — в Москве, 957 — в Санкт-Петербурге, 728 — в Московской области, 407 — в Нижегородской области.\n\nЗафиксировано 337 летальных исходов, полностью выздоровели 12 943 человека\n\n#coronavirus "
265,В России число случаев коронавируса превысило 2 млн человек. За последние сутки в стране выявлено 23 610 случаев COVID-19 
266,"Дэлхийн 1, Дэлхийн 2р дайн одоо Ковид19 г энэ эмэгтэй үзэж бна. 118 настай гэнэ. "
267,Уточнены критерии диагностики иммунной тромботической тромбоцитопении после вакцинации COVID-19 
268,"Джек и Мью доставили необходимые вещи и медикаменты в\nбольницу Санам, провинции Самутпракан, для помощи больным COVID-19 в тюрьме. На закупку были выделены средства с аукциона Джека, где он продавал майку Gucci из гардероба Мью.\n@username "
269,Антирекорд за последние четыре месяца: в Украине количество инфицированных COVID-19 за сутки превысило 7800 
270,"Россиян, возвращающихся в страну любым видом транспорта, обязали в течение трёх дней сдать тест на COVID-19 / Ранее это было обязательно только для тех, кто летел самолетом из-за границы | Магаданская правда "
271,"В этом-то и проблема: вакцина лишь помогает настроить иммунную систему стандартными методами. Но если иммунная система не работает, как должна, пользы от вакцин, возможно, не будет вовсе, сколько бы ни было доз. "
272,Ростовская область до 20 ноября получит лекарства для лечащихся на дому от COVID-19 составлена с учетом роста заболеваемости 
273,В Администрации Каменск-Уральского городского округа утвердили план мероприятий направленных на борьбу с коррупцией на территории муниципалитета Каменске-Уральском начался этап массовой вакцинации от COVID-19 
274,За сутки в больницу Комсомольска поступило 3 человека с диагнозом COVID-19 
275,Петербург достиг 100% коллективного иммунитета к COVID-19\n 
276,В Молдове зарегистрировали 1766 новых случаев COVID-19 \n\nНовый антирекорд: В Молдове зарегистрировали 1766 новых случаев COVID-19. Фото: здравоохранения предоставило обн 
277,"RU. 08.I В Мире 》88.6 милионов заболевших c COVID19 Латвия +11 умерших, провели 12799 тестов выявили +1237 заболевших (9.66%) \nИ сответственно в среднем за I 9509-881(9,26%)\n{ХII 8020-772(9,63%)}. Всего в больницах 1166 чел, получили вакцину 5354. \n  "
278,Covid-19 в Украине: с начала пандемии зафиксировано почти 200 тысяч случаев\n 
279,"В ""Голосах Анголы"" мы даем высказаться тем, кто боролся, кто нашел выход, кто смог адаптироваться перед лицом COVID-19 "
280,В России началась льготная вакцинация от COVID-19 собак и кошек
281,"В регионы доставляют и новейшее оборудование для диагностики инфекции. \n\nТак, Саратовскую область поступили первые мини-лаборатории для тестирования на COVID-19. Они будут работать в отдалённых районах области.\n\nПодробности #коронавирус "
282,"Голубовская: Хочу обратиться к пациентам и докторам - не надейтесь ни на что и помните, что вовремя начатое лечение, в ранний период болезни в ряде случаев спасает жизнь, предотвращает тяжёлое течение и/или облегчает симптомы болезни.\nДо #COVID19\n\n "
283,COVID-19 в городах и районах Коми: актуальные цифры на 6 ноября 
284,"Великобритания отменяет вакцинные паспорта, обязательные маски в общественных местах и рекомендацию работать из дома — премьер-министр Джонсон\n "
285,Россия находится на первом месте в мире по числу заразившихся COVID-19 в пересчете на миллион жителей. Власть врёт со статистикой и скрывает настоящий масштаб случившегося. Позор. 
286,В Совбезе рассказали о новой тактике террористов с использованием COVID-19 
287,Питерские врачи - против. Кто кого?! 
288,COVID−19: Число новых заражений в России обновило суточный рекорд #звезды 
289,В ЕС объяснили усиление контроля за соцсетями дезинформацией о COVID-19 
290,"Pfizer, BioNTech вакцин АНУ-д албан ёсны зөвшөөрлөө авчихлаа. "
291,"Подростки Челнов рассказали, почему решили вакцинироваться от Covid-19\n\nПодробнее: "
292,Кабмин Украины изменил правила тестирование на COVID-19 при пересечении КПВВ \n\nНаряду с ПЦР-тестированием разрешили использовать также экспресс-тестирование на антиген 
293,В Беларуси за сутки зафиксировано 1 887 случаев заражения коронавирусом - Радио Мир в Беларуси \n#twiby #коронавирус #вакцина #Беларусь #COVID19
294,«101 жашка чейин жашагым келет» covid-19 жуктурган аял өлүп кайра тирилди 
295,Администрация Карсунского района: Эпидемиологическая ситуация по COVID-19 на 10...\n 
296,"В Швейцарии разработали тест на коронавирус с результатом через 15 минут.\nЭкспресс-тесты на COVID-19 представил фармацевтический гигант Roche.\nТесты работают по принципу тестов на беременность и имеют высокую точность — в пределах 96,5-99,7%"
297,COVID-19: Улаанбаатар хотын хувиараа хөдөлмөр эрхлэгчид хамгийн их алдагдалд орж борлуулалтын орлого нь хамгийн их буурсан байна.\nЭх сурвалж: УБХТ-ын судалгаа &lt;&lt;COVID19: Засгийн газраас хэрэгжүүлсэн арга хэмжээ хувиараа хөдөлмөр эрхлэгчдэд нөлөөлж чадсан уу?&gt;&gt;\n@username 
298,"AMSRUS: #Hyundai продолжает поддерживать медицинских работников и волонтеров, борющихся с COVID-19 \n #коронавирус "
299,"Ну-ну, слушайте больше! Гинзбург на русский переводится как «враньё». "
300,Контроль за распространением COVID-19 на транспорте в Иркутске - Интернет-журнал «Берег Ангары» 
301,"Сегодня ночью от Covid-19 умер мой коллега.Вчера днём я разговаривала с ним по телефону.36 лет,хирург от бога,двое детей,младшему 3 мес.Жена и дети тоже больны.Жена в тяжёлом состоянии,дети бессимптомно."
302,"""Важно понимать, что аденовирусные частицы в составе вакцин против COVID-19 модифицированы и не способны к размножению. И эти элементы, и сами фрагменты коронавируса, к которым вырабатываются антитела при вакцинации, быстро и безвозвратно уничтожаются нашей иммунной системой""."
303, ️Роман Протасевич принял добровольное участие в испытании белорусской вакцины от COVID-19 
304,В чем трагедия? 
305,142 790 случаев заражения COVID-19 подтверждено в Одесской области: 99 за последние сутки 
306,"account has been withheld in Portugal, Finland, Sweden, Ireland, Slovenia, Czech Republic, Poland, Slovakia, Hungary, Italy, Malta, Germany, Greece, Romania, Netherlands, Bulgaria, Austria, Luxembourg, Latvia, United Kingdom, Denmark, Lithuania, Croatia, Estonia, Cyprus, France, Spain, Belgium in response to a legal demand. Learn more."
307,В Мурманской области прокомментировали ситуацию с COVID-19 
308,Некоторые пищевые добавки снижают риск заражения коронавирусом COVID-19 для женщин
309,Свыше 600 тысяч человек умерли от COVID-19 
310,Разведка США назвала утечку из лаборатории возможной причиной пандемии COVID-19\n 
311,"account has been withheld in Portugal, Finland, Sweden, Ireland, Slovenia, Czech Republic, Poland, Slovakia, Hungary, Italy, Malta, Germany, Greece, Romania, Netherlands, Bulgaria, Austria, Luxembourg, Latvia, United Kingdom, Denmark, Lithuania, Croatia, Estonia, Cyprus, France, Spain, Belgium in response to a legal demand. Learn more."
312,На Среднем Урале зафиксировали ещё две смерти от COVID-19 
313,"Глава ВОЗ рассказал о будущем человечества в условиях COVID-19\n Человечество будет вынуждено существовать с COVID-19 в обозримом будущем, поэтому миру нужен тщательный контроль за распространением острых ... "
314,Нубар Афеян: Moderna не планирует делиться рецептом своей вакцины от COVID-19 
315,"Если ковид, ковид наступает вдруг,\nА лечиться не за что тебе, мой друг,\nЕсли кислород в твоей крови упал,\nМожет быть заглянешь в наш вечерний квартал!\nЗдесь сияют витрины\nИ горят фонари,\nЗдесь мы ссым вам в глаза\nОт зари до зари.\nЗдесь всегда зажигает\nНаш Вечерний Квартал! "
316,"Объяснен рост больных COVID-19 людей с симптомами ОРВИ Николай Крючков заявил, что пропорция между легко и тяжело переносящими коронавирус практически не изменилась. «Ничего не поменялось, коронавирус все также страшен... Отсутствие потери об... "
317,"С 1 июня в Тульской области будет продлена акция «Без дистанции». Жители региона, прошедшие вакцинацию от COVID-19 по-прежнему смогут бесплатно посещать культурные мероприятия. Для этого достаточно предъявить цифровой сертификат о вакцинации.\n "
318,COVID-19 начал поражать Сибирь и Урал через @username
319,«Я сделал себе еще одну прививку»: Путин ревакцинировался от COVID-19\n 
320,"362 жителя Псковской области ревакцинировались от COVID-19 в пятницу\nВ прошедшую пятницу, 5 ноября, ревакцинацию от коронавируса нового типа 362 жителя Псковской области\n "
321,"Есть ли хуже губернатор, чем Уитнер? Рассказывала всем, что вспышка вируса в Мичигане из-за того, что народ едет отдыхать во Флориду, где нет никаких ограничений (в отличие от Мичигана). А тут оказывается, она сама туда ездила отдыхать. "
322,Петербург взял новый рекорд по суточной заболеваемости COVID-19 
323,"Ученые разработали датчик, выявляющий COVID-19 за пять минут.\n\nИзобретение имеет широкий спектр применения:\n\n "
324,"Пост безотносительно политики. Все видели скопления людей в Минске. При этом редко на ком можно было заметить маску, а о социальной дистанции говорить не приходится. А что с пандемией COVID-19? Её нет? Она отступила? Через пару недель страну ожидает коллапс?\n#coronavirus #covid "
325,Прошедшие полный курс вакцинации «Спутником V» не распространяют вирус в случае заражения COVID-19\n\n 
326, Военный парад в честь годовщины победы над COVID-19 перенесут по рекомендации главного санитарного врача 
327,От COVID-19 лучше всего защитит естественный иммунитет — ученые 
328,"Короновирус COVID-19 - это прививка на уничтожение, а не болезнь #прививки #covid19 #уничтожениечеловечества"
329,"Познакомьтесь: дети турецких мигрантов, мусульмане, мультимиллиардеры, семья владельца фирмы #Biontech из Майнца, которая разработала #вакцину против #Covid19. Шеф фирмы Ugur Sahin в возраста четырех лет приехал в ФРГ из Турции. Вопросы? "
330,Вспышка Covid-19 в Европе обвалила цены на нефть 
331,"Изобретатель мРНК технологии рассказал, как запрещали лекарства от COVID\n\nПоименно назвал людей, продавливавших запрет использования гидроксихлорохина и ивермектина для лечения COVID-19 в США изобретатель мРНК технологии доктор Роберт Мелоун.\n "
332,Китай снова обвинил Россию в распространении COVID-19 через экспорт продуктов 
333,Американская компания Johnson&amp; Johnson приостановила предоставление доз своей вакцины от COVID-19 участникам испытаний из-за неизвестной болезни у добровольца.\n\n 
334,В Псковской области выросло число госпитализируемых с COVID-19\nЧисло госпитализируемых больных выросло в последние дни в Псковской области\n 
335,Минздрав включил Арбидол в двенадцатую версию рекомендаций по лечению COVID-19 
336,#COVID19 #Путин \nИ главное что мы в это поверили )))\n 
337,Венгерский друг Путина побоялся вакцинироваться от Covid-19 российским «шмурдяком»\n #Россия #Китай #коронавирус #пандемия #вакцина #Covid19 #SputnikV 
338,"В Петербурге свыше 10 тыс. медиков, заболевших COVID-19 на работе, получили компенсации "
339,"Ну так идите и найдите, вот оригинал действительно нуждается ВСЕГДА в дополнительном подозрении общества - это те, кто получает от него мандат на применение законного насилия. Сила и безнаказанность разващает одинаково и русского, и голландца."
340,В России разрабатывается более 25 вариантов вакцин от коронавируса COVID-19 
341,Стена абсолютного непонимания: Мясников об ошибке домашнего лечения COVID-19\n\nИзвестный врач и телеведущий Александр Мясников назвал главную ошибку при лечении коронавирусной инфекции на дому. Об этом он написал в своем телеграм-канале. По словам Мясни... 
342,Лечившемуся от COVID-19 #москвич'у принесли наркотики прямо в больницу 
343,"Ну UK зажали астразенку, USA зажали пфайзер и модерну. Вот страны ЕС начали выкручиваться.\n вообще они зря так. В апреле запускаются новые дополнительные большие заводы для всех трех вакцин в ЕС и должно стать лучше "
344,"В ДНР за сутки не выявлено новых случаев заболевания COVID-19\n\n #Донецкоевремя #коронавирус #МинздравДНР #Новости, #Новороссия #Новости "
345,"Названы два продукта, которые помогают вылечиться от COVID-19 - Хартия'97 :: Новости Беларуси - Белорусские новости - Новости Белоруссии - Республика Беларусь - Минск "
346, Статистика по заболеваемости COVID-19 в России на 20 октября 2021 года\n\nПодробнее: #ECOportal #ЭКОпортал #Официально #COVID19 
347,В столице количество ежедневных госпитализаций пациентов с COVID-19 за неделю снизилось с 1 600 до 1 500. Об этом заявил мэр Москвы Сергей Собянин.\nЗа сутки госпитализировали 1 580 человек. 
348,В Киеве от COVID-19 с разницей в три дня умерли мать и дочь • Портал АНТИКОР 
349,ПЯТНИЦА и СУБОТА - дни борьбы с Covid19 без вмешательства антибиотиков 
350,Пандемия COVID-19: число жертв на планете стремительно приближается к 5 млн. Украина - на 4-м месте в мире и 2-м в Европе по суточной смертности.\n\n#COVID19 #Ukraine #Украина #Covid_19 #COVID19 #статистика #пандемия 
351," ️ В Дании официально сняли все ограничения, введенные в связи с пандемией \n#Denmark #Pandemie #COVID19"
352,"В областном Роспотребнадзоре объяснили, в чем отличия COVID-19 и гриппа #Волгоград"
353,"В мире COVID-19 уже почти у 2,5 млн человек. В России зафиксировали рекордное число смертей за сутки ( "
354,"Количество инфицированных COVID-19 в ДНР превысило 20-тысячную отметку\n\nКоличество людей, инфицированных COVID-19 в ДНР, растет. Так, в течение суток министерством здравоохранения выявлено еще 158 новых случаев болезни. Общее число заболевших превыс…\n "
355,→ Министр внутренней безопасности США заразился COVID-19 #Новости
356,Британец всю пандемию лечился от COVID-19\n\n 
357,Впервые за сутки от COVID-19 умерли 19 жителей Волгоградской области\n\nВ регионе выросла смертность от коронавируса.\n 
358,В Ульяновской области число заражений COVID-19 превысило 10000 
359,"В Ачинске, скончавшаяся на 5 сутки от COVID-19 учительница Лариса Чаплинская, успела записать видео. «Врач была один раз за 16 дней», – рассказывает женщина о лечении в «красной зоне» больницы "
360, ️Срочно к врачу: когда вакцинация от COVID-19 может обернуться параличом. 🩼 
361,За сутки в Саратовской области COVID-19 заболели 242 человека. В Балаковском районе – 24 новых случая заражения 
362,"Жителя Томска, который переоделся врачом, чтобы помочь больной COVID-19 бабушке, уволили. \n\nСергей работал сварщиком. Как он рассказал в интервью «Московскому комсомольцу», теперь он остался без работы.\n\n«Начальник позвонил, сказал: «Нам яркие личности не нужны, всего доброго»."
363,Будет быстрее и короче: ученые о четвертой волне Covid-19 в Украине\n 
364,В Севастополе какие сутки кряду количество выздоровевших намного выше числа заболевших COVID-19 
365,За сутки в России подтверждено 20 638 случаев COVID-19 в 85 регионах 
366,"account has been withheld in Portugal, Finland, Sweden, Ireland, Slovenia, Czech Republic, Poland, Slovakia, Hungary, Italy, Malta, Germany, Greece, Romania, Netherlands, Bulgaria, Austria, Luxembourg, Latvia, United Kingdom, Denmark, Lithuania, Croatia, Estonia, Cyprus, France, Spain, Belgium in response to a legal demand. Learn more."
367,Колькасьць выпадкаў COVID-19 у Эўропе перавысіла 25 мільёнаў\n\n 
368,«Не должно быть никакого самолечения»: академик Камалов — о бессимптомном течении COVID-19 и массовом тестировании 
369,"Взяточник составляет отчеты о том, как в Петербурге обстоят дела с COVID-19\n\n "
370,"Найдено универсальное антитело к COVID-19 и атипичной пневмонии\n\nИсследователи выяснили, что антитело связывается с устойчивой частью спаечного белка коронавируса, который не сильно меняется от штамма к штамму. Такие данные могут стать началом создания вакцины широкого действия."
371,"Банк Японии сохранил свою монетарную политику и продлил действие программы помощи компаниям, пострадавшим из-за COVID-19\n\n "
372,На Камчатке членов семей военнослужащих привьют от COVID-19 
373,"Ученые, проанализировав почти 14 тыс. человек, установили, что у полностью вакцинированных от коронавируса пациентов риск тяжелого течения заболевания и госпитализации снижается в пять раз. #COVID19 #вакцинация #Ковид #исследование #Россия #Спб "
374,Вскрытие умерших от коронавируса COVID-19 помогло изменить отношение к ИВЛ 
375,"Собянин назвал новые категории горожан, которые смогут привиться от COVID-19 с 30 декабря:\n "
376,Как COVID-19 повлиял на кулинарную моду и есть ли польза в зимних помидорах 
377,Европейский регулятор призвал страны ЕС не спешить с одобрением российской вакцины от COVID-19 
378,Назальная вакцина от COVID-19 сможет дополнять “Спутник Лайт” 
379,"“Невакцинированные пациенты с COVID-19 умоляют о вакцинации, но уже поздно” via @username"
380, 12 ноября — Всемирный день борьбы с пневмонией. Вашему вниманию Минздрав представил актуальную инфорграфику по статистике и течению пневмоний в стране \n #пневмония #covid19 #Москва #гп175 
381,"Врач объяснила, влияет ли аллергия на тяжесть лечения COVID-19 "
382,Вечером 30 мая выявлено 142 новых случая заражения COVID-19 внутри страны 
383,"Минздрав Беларуси обновил статистику случаев заболевания коронавирусом COVID-19 в стране. По официальным данным, на 28 апреля в Беларуси зарегистрировано 979 346 случаев инфицирования с начала пандемии. За последние сутки заболели 573 человека. "
384,Самое главное об эпидемии Covid-19 в Калужской области на 10 декабря 
385,Профессор-генетик Итуро Иноуэ сообщил о самоликвидации дельта-штамма COVID-19 в Японии и снижении заболеваемости 
386,"Эффективность вакцинации против дельта-штамма в США:\n\nВероятность заражения невакцинированных в 4.6 раза выше, вероятность госпитализации в 10 раз и вероятность летального исхода от Covid-19 в 11 раз выше, чем у вакцинированных людей.\n\nисточник: "
387,"Covid-19 Посмотрела прирост заболевших в сутки по Украине, вообщем нужно готовится..."
388,Фактические данные намного выше: New York Times - о Covid-19 в Украине\n 
389," А вот это действительно неожиданные результаты нового исследования CDC .\nСреди госпитализированых больных с COVID-19 риск переболевших и невакцинированных был в 5,5 раз выше чем у полностью вакцинированных.\nНеожиданно большая разница. "
390, ЭКСКЛЮЗИВ «ГОРДОНА»\n\nСтепанов: Раньше лета коммерческие вакцины от COVID-19 в Украине не появятся\nБольше читайте тут: 
391,"Медицинские работники, которым предстоит работать в Новый год и последующие дни каникул, получат повышенные выплаты в январе. Соответствующее распоряжение было подготовлено кабмином на основании по поручению президента Путина. Глава государства напомни...\n "
392,Разработка российской вакцины от COVID-19 для животных завершится в январе - 
393,ДЭМБ: Хятадын Синофарм компаны вакциныг албан ёсоор баталлаа. 
394,"Возрождение Covid-19 во всем мире может нанести ущерб восстановлению экономики. Уровень инфицирования либо остается стабильно высоким, либо растет в США и многих европейских странах. Многим азиатским странам удается держать под контролем новые случаи коронавируса."
395, ️ Роспотребнадзор сократит срок действия ПЦР-теста на COVID-19 с 72 до 48 часов\n\n 
396,"Путин и Россия1 опять твердят, что у нас с эпидемией ситуация лучше, чем в Европе.\n\nДля справки.\nЧисло смертей от COVID-19 за последнюю неделю:\nГермания - 73,\nИталия - 126,\nБритания - 212,\nРоссия - 835.\n""Лучше, чем в Европе"". "
397,Путин заявил о необходимости создать модель защиты от угроз типа COVID-19 
398,"Глава Ингушетии переболел COVID-19 и планирует вакцинироваться\n\nМахмуд-Али Калиматов отметил, что коронавирус — тяжелая болезнь, и нужно обязательно прививаться. За 2 месяца в регионе умерло 39 человек. \n\nДетальнее \n\n "
399,20 июля количество подтвержденных инфицированных COVID-19 в Шахтах увеличилось на четыре человека\n\nЧисло подтвержденных инфицированных коронавирусом увеличилось в Ростовской области на 346.\n\nПодробнее: #коронавирус #сводка 
400,"account has been withheld in Portugal, Finland, Sweden, Ireland, Slovenia, Czech Republic, Poland, Slovakia, Hungary, Italy, Malta, Germany, Greece, Romania, Netherlands, Bulgaria, Austria, Luxembourg, Latvia, United Kingdom, Denmark, Lithuania, Croatia, Estonia, Cyprus, France, Spain, Belgium in response to a legal demand. Learn more."
401,Во время пандемии COVID-19 крайне неуместно проводить многолюдные митинги и демонстрации. 
402,"account has been withheld in Portugal, Finland, Sweden, Ireland, Slovenia, Czech Republic, Poland, Slovakia, Hungary, Italy, Malta, Germany, Greece, Romania, Netherlands, Bulgaria, Austria, Luxembourg, Latvia, United Kingdom, Denmark, Lithuania, Croatia, Estonia, Cyprus, France, Spain, Belgium in response to a legal demand. Learn more."
403,Суточный максимум смертей от COVID-19 в России обновился в 13-й раз за октябрь 
404,Оперштаб сообщил о 24 715 новых случаях COVID-19 в регионах России 
405,Вакцину Pfizer от COVID-19 запретили давать британским аллергикам 
406,"В Дании, где привито 83% населения, упразднены все противоковидные меры, в том числе для непривитых. COVID-19 более не считается ""заболеванием, критическим для общества"". Массовые мероприятия можно посещать без справки о вакцинации, отменен масочный режим\n "
